User,Text,Followers,Retweets,Favorites,
31flaka,"@jensstoltenberg @albinkurti @NATO_KFOR Distinguished Sir @jensstoltenberg, it's written you ""have spoken with President of Serbia and Albin Kurti"", but you didn' mention he is PM of Kosova.",991,0,0,2022-08-04 13:42:11+00:00
AMulliqaj,"@RichardGrenell The people of Kosovo have elected Mr. Albin Kurti as Prime Minister of our country, so finish your speech, Mr. Grenell.",1,0,1,2022-08-04 10:11:53+00:00
RITKosovo,"Dr. Kamal Shahrabi, President and Dean of Faculty at RIT Kosovo (A.U.K) met with H.E. Albin Kurti, Prime Minister of the Republic of Kosovo to discuss opportunities between the Government and RITK through concrete projects in the field of higher education.
Photo Credit: PM Office https://t.co/R3rc7WcHCT",853,2,11,2022-08-04 09:34:34+00:00
ReddySalina,"“The KFOR stands #ready to intervene if #stability is jeopardized, based on its #UN-mandate,” #Stoltenberg added.

On Tuesday, Stoltenberg had a call with #Albania’s #PrimeMinister Albin Kurti, and conveyed a similar #message.",467,0,0,2022-08-04 01:48:45+00:00
toxicamoda,"Summer night, fllad, dritarja qel, and hugging Albin Kurti’s picture before bed💪🏻",73,0,1,2022-08-03 22:25:51+00:00
shrehoo,How is this possible? He did a tweet without saying anything about Albin Kurti. 😮 wow https://t.co/47PgNwQAlO,224,0,0,2022-08-03 20:53:18+00:00
bledy,@RichardGrenell You lost the Fight with Albin Kurti and now trying to be good to the Kosovo people. You are a man for hire you jobless ass,0,0,2,2022-08-03 18:31:04+00:00
DragosIonita,"After the recent spike in tensions in northern #Kosovo, Aleksandar Vucic and Albin Kurti are to meet in the third week of August in Brussels – though few expect any progress. 
https://t.co/kSgZGHGlMP",834,0,0,2022-08-03 18:13:41+00:00
hox_sab,"@jensstoltenberg @albinkurti @NATO_KFOR ALBIN KURTI# is not your Butler but PM of Republic of Kosova, dude",0,0,0,2022-08-03 17:24:10+00:00
Lulzimi77,@jensstoltenberg @albinkurti @NATO_KFOR Who is Mr. Albin Kurti ?  I think there is no NATO and PEACE without the USA !,2,0,0,2022-08-03 13:41:03+00:00
ArsZek,"Spanish PM  @sanchezcastejon will meet Aleksandar Vucic. The one who said ""we shall kill 100 Muslims for every 1 killed Serb"". 

Same @sanchezcastejon will NOT meet Albin Kurti. Because, get this, ‘is against international law’.

Franco is dead. Long Live Franco.

#Espana https://t.co/ATNUWL1Ip8",1986,1,2,2022-08-03 13:20:29+00:00
bukekryp,"Grenell - who brought Kurti 1 govt down with help of LDK imbecils for the same reason, now accepts reciprocity as a measure.

Albin Kurti effect 😄 https://t.co/GjrWjPvC5p",300,0,0,2022-08-03 12:08:22+00:00
VvonKahle,"Hi, Albin Kurti, is that you?🤣🤣 https://t.co/ARTTx8kuE8",142,0,0,2022-08-03 07:38:16+00:00
PathoPhyto,"@RichardGrenell @JakeSullivan46 @ABlinken However harsh do you call it, Albin Kurti was educated, pitched and enrolled during tenure of Albanian-American CIA boss - George Tenet. And ever since, their influence to american most clancestine agency is deeper then serbian impact (due to serbian alliance with Russia)",473,0,0,2022-08-03 07:15:20+00:00
ZelMar87,@RichardGrenell Make sure you get Albin Kurti his plane ticket https://t.co/SMgnRHmkzW,11,1,2,2022-08-02 18:48:33+00:00
CATHOLlCFAG,EVEN ALBIN KURTI IS GAGGING RIGHT NOW https://t.co/0w0ihX55ym,1566,0,6,2022-08-02 16:58:19+00:00
